1=强力散搭；2=毕业推荐；,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,,,名称,分类,鬼泣,狂战士,剑魂,阿修罗,气功师,散打,漫游枪手,枪炮师,机械师,弹药专家,元素师,魔道学者,圣骑士,正义审判者,驱魔师,除恶者,蓝拳使者,驭剑士,暗殿骑士,契魔者,流浪武士,枪炮师（女）,漫游枪手（女）
,,,,,0_2_0,0_3_0,0_1_0,0_4_0,1_1_0,1_2_0,2_1_0,2_2_0,2_3_0,2_4_0,3_1_0,3_4_0,14_1_0,14_2_0,14_3_0,14_4_0,14_5_0,11_1_0,11_2_0,11_3_0,11_4_0,5_2_0,5_1_0
2000100313,,,混沌：预言者的静夜短裙,下装,,,,,,,,,,,,,,,,,,,,,,,
2000050312,,,混沌：预言者的静夜风衣,上衣,,,,,,,,,,,,,,,,,,,,,,,
2000150294,,,混沌：预言者的静夜肩甲,头肩,,,,,,,,,,,,,,,,,,,,,,,
2000250308,,,混沌：预言者的静夜鞋子,鞋,,,,,,,,,,,,,,,,,,,,,,,
2000200298,,,混沌：预言者的静夜腰带,腰带,,,,,,,,,,,,,,,,,,,,,,,
2000050315,,,混沌：白日梦想家,上衣,,,,,,,,,,,,,,,,,,,,,,,
2000100316,,,混沌：叮当洋装,下装,,,,,,,,,,,,,,,,,,,,,,,
2000150297,,,混沌：妙妙毛帽子,头肩,,,,,,,,,,,,,,,,,,,,,,,
2000250311,,,混沌：踢踏短靴,鞋,,,,,,,,,,,,,,,,,,,,,,,
2000200301,,,混沌：傲娇猫咪,腰带,,,,,,,,,,,,,,,,,,,,,,,
2000050313,,,混沌：愤怒魔女的炙焰长袍,上衣,,,,,,,,,,,,,,,,,,,,,,,
2000100314,,,混沌：愤怒魔女的炙焰长裤,下装,,,,,,,,,,,,,,,,,,,,,,,
2000150295,,,混沌：愤怒魔女的炙焰斗篷,头肩,,,,,,,,,,,,,,,,,,,,,,,
2000250309,,,混沌：敏捷魔女的靴子,鞋,,,,,,,,,,,,,,,,,,,,,,,
2000200299,,,混沌：狡猾魔女的腰带,腰带,,,,,,,,,,,,,,,,,,,,,,,
2000050314,,,混沌：清辉天女上衣,上衣,,,,,,,,,,,,,,,,,,,,,,,
2000100315,,,混沌：清辉天女短裙,下装,,,,,,,,,,,,,,,,,,,,,,,
2000150296,,,混沌：清辉天女围巾,头肩,,,,,,,,,,,,,,,,,,,,,,,
2000250310,,,混沌：清辉天女短靴,鞋,,,,,,,,,,,,,,,,,,,,,,,
2000200300,,,混沌：清辉天女腰带,腰带,,,,,,,,,,,,,,,,,,,,,,,
2000060320,,,混沌：潜行者的锋芒夹克,上衣,,,,,,,,,,,,,,,,,,,,,,,
2000160365,,,混沌：潜行者的锋芒肩带,头肩,,,,,,,,,,,,,,,,,,,,,,,
